2021-09-08 11:41:24 INFO Collected 50 ID in genre MUSICAL, rank 951-1001
2021-09-08 11:41:25 INFO Collected 1000 ID in MUSICAL genre
2021-09-08 11:41:30 INFO Collected 50 ID in genre MYSTERY, rank 1-51
2021-09-08 11:41:32 INFO Collected 50 ID in genre MYSTERY, rank 51-101
2021-09-08 11:41:33 INFO Collected 50 ID in genre MYSTERY, rank 101-151
2021-09-08 11:41:35 INFO Collected 50 ID in genre MYSTERY, rank 151-201
2021-09-08 11:41:37 INFO Collected 50 ID in genre MYSTERY, rank 201-251
2021-09-08 11:41:38 INFO Collected 50 ID in genre MYSTERY, rank 251-301
2021-09-08 11:41:40 INFO Collected 50 ID in genre MYSTERY, rank 301-351
2021-09-08 11:41:42 INFO Collected 50 ID in genre MYSTERY, rank 351-401
2021-09-08 11:41:44 INFO Collected 50 ID in genre MYSTERY, rank 401-451
2021-09-08 11:41:46 INFO Collected 50 ID in genre MYSTERY, rank 451-501
2021-09-08 11:41:48 INFO Collected 50 ID in genre MYSTERY, rank 501-551
2021-09-08 11:41:50 INFO Collected 50 ID in genre MYSTERY, rank 551-601
2021-09-08 11:41:52 INFO Collected 50 ID in genre MYSTERY, rank 601-651
2021-09-08 11:41:53 INFO Collected 50 ID in genre MYSTERY, rank 651-701
2021-09-08 11:41:55 INFO Collected 50 ID in genre MYSTERY, rank 701-751
2021-09-08 11:41:58 INFO Collected 50 ID in genre MYSTERY, rank 751-801
2021-09-08 11:41:59 INFO Collected 50 ID in genre MYSTERY, rank 801-851
2021-09-08 11:42:01 INFO Collected 50 ID in genre MYSTERY, rank 851-901
2021-09-08 11:42:03 INFO Collected 50 ID in genre MYSTERY, rank 901-951
2021-09-08 11:42:05 INFO Collected 50 ID in genre MYSTERY, rank 951-1001
2021-09-08 11:42:05 INFO Collected 1000 ID in MYSTERY genre
2021-09-08 11:42:09 INFO Collected 50 ID in genre ROMANCE, rank 1-51
2021-09-08 11:42:11 INFO Collected 50 ID in genre ROMANCE, rank 51-101
2021-09-08 11:42:13 INFO Collected 50 ID in genre ROMANCE, rank 101-151
2021-09-08 11:42:15 INFO Collected 50 ID in genre ROMANCE, rank 151-201
2021-09-08 11:42:17 INFO Collected 50 ID in genre ROMANCE, rank 201-251
2021-09-08 11:42:19 INFO Collected 50 ID in genre ROMANCE, rank 251-301
2021-09-08 11:42:21 INFO Collected 50 ID in genre ROMANCE, rank 301-351
2021-09-08 11:42:22 INFO Collected 50 ID in genre ROMANCE, rank 351-401
2021-09-08 11:42:24 INFO Collected 50 ID in genre ROMANCE, rank 401-451
2021-09-08 11:42:27 INFO Collected 50 ID in genre ROMANCE, rank 451-501
2021-09-08 11:42:28 INFO Collected 50 ID in genre ROMANCE, rank 501-551
2021-09-08 11:42:30 INFO Collected 50 ID in genre ROMANCE, rank 551-601
